case,grid,reference_s,cold_build_s,hot_pattern_s,reference_peak_mib,prepared_peak_mib,max_error
link_four_patterns,,2.2925786999985576,0.35567250000167405,5.619999865302816e-05,118.8046875,115.69921875,0.0
field_coherent,8x6,1.846970099999453,1.2824288999981945,9.079999290406704e-05,115.03515625,116.44921875,4.263256414560601e-14
field_coherent,16x12,7.028985000004468,4.609666600001219,0.0002756000030785799,115.25,125.45703125,9.947598300641403e-14
