timestamp,scenario,frequency_hz,generation,ris_count,ris_width_m,ris_height_m,nx,ny,phase_bits,efficiency,phase_error_sigma_rad,algorithm,rx_x_m,rx_y_m,rx_z_m,received_power_dbm,ris_gain_db,snr_db,coverage_percent,coverage_threshold_db,iterations,runtime_s,random_seed
2026-09-01T07:08:20.998353+00:00,Future Smart Space,5000000000.0,Advanced,1,1.6,1.2,24,24,1,0.85,0.0,Physics Focus,8.5,4.0,1.2,-34.37348076298083,20.901855045141602,52.62651923701917,79.58333333333333,35.0,1,3.551511900033802,20260901
2026-09-01T07:08:24.698765+00:00,Future Smart Space,5000000000.0,Advanced,1,1.6,1.2,24,24,2,0.85,0.0,Physics Focus,8.5,4.0,1.2,-30.910079700890705,24.36525610723173,56.089920299109295,78.33333333333333,35.0,1,3.7004220000235364,20260901
2026-09-01T07:08:28.704268+00:00,Future Smart Space,5000000000.0,Advanced,1,1.6,1.2,24,24,3,0.85,0.0,Physics Focus,8.5,4.0,1.2,-30.125714151404196,25.14962165671824,56.874285848595804,78.52083333333333,35.0,1,4.00547460000962,20260901
2026-09-01T07:08:32.313255+00:00,Future Smart Space,5000000000.0,Advanced,1,1.6,1.2,24,24,4,0.85,0.0,Physics Focus,8.5,4.0,1.2,-29.957763366644706,25.31757244147773,57.042236633355294,78.45833333333333,35.0,1,3.608987200073898,20260901
2026-09-01T07:08:36.484147+00:00,Future Smart Space,5000000000.0,Advanced,1,1.6,1.2,24,24,continuous,0.85,0.0,Physics Focus,8.5,4.0,1.2,-29.898472905272932,25.376862902849503,57.10152709472707,78.45833333333333,35.0,1,4.170882600010373,20260901
